tvg-name,地区,URL,来源,原始tvg-name
澳门MACAU,澳门,https://stream1.freetv.fun/ao-men-macau-1.m3u8,手动/查找源,澳門MACAU
澳门MACAU,澳门,https://stream1.freetv.fun/ao-men-macau-2.m3u8,手动/查找源,澳門MACAU
澳门莲花,澳门,https://stream1.freetv.fun/ao-men-lian-hua-3.m3u8,手动/查找源,澳門蓮花
澳门莲花,澳门,https://stream1.freetv.fun/ao-men-lian-hua-1.m3u8,手动/查找源,澳門蓮花
澳门资讯,澳门,https://stream1.freetv.fun/ao-men-zi-xun-2.m3u8,手动/查找源,澳門資訊
澳视澳门,澳门,https://stream1.freetv.fun/ao-shi-ao-men-7.m3u8,手动/查找源,澳視澳門
澳视澳门,澳门,https://stream1.freetv.fun/ao-shi-ao-men-1.m3u8,手动/查找源,澳視澳門
澳视澳门,澳门,https://stream1.freetv.fun/ao-shi-ao-men-6.m3u8,手动/查找源,澳視澳門
澳视澳门,澳门,https://stream1.freetv.fun/ch-ng-ao-shi-ao-men-2.m3u8,手动/查找源,澳視澳門
澳视澳门,澳门,https://stream1.freetv.fun/ch-ng-ao-shi-ao-men-1.m3u8,手动/查找源,澳視澳門
澳视综艺,澳门,https://stream1.freetv.fun/ao-shi-zong-yi-2.m3u8,手动/查找源,澳視綜藝
澳视综艺,澳门,https://stream1.freetv.fun/ao-men-zong-yi-1.m3u8,手动/查找源,澳視綜藝
澳视体育,澳门,https://stream1.freetv.fun/ch-ng-ao-shi-ti-yu-2.m3u8,手动/查找源,澳視體育
澳视体育,澳门,https://stream1.freetv.fun/ao-shi-ti-yu-2.m3u8,手动/查找源,澳視體育
澳视体育,澳门,https://stream1.freetv.fun/ao-men-ti-yu-1.m3u8,手动/查找源,澳視體育
澳视体育,澳门,https://stream1.freetv.fun/ch-ng-ao-shi-ti-yu-1.m3u8,手动/查找源,澳視體育
澳视葡文,澳门,https://stream1.freetv.fun/ch-ng-ao-shi-pu-wen-1.m3u8,手动/查找源,澳視葡文
澳视葡文,澳门,https://stream1.freetv.fun/ao-shi-pu-wen-3.m3u8,手动/查找源,澳視葡文
澳视葡文,澳门,https://stream1.freetv.fun/ao-shi-pu-wen-1.m3u8,手动/查找源,澳視葡文
